count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,,,
13,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10289726/706965?src=19,Headend Engineer,Equis Staffing,Burbank,,,,,
14,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/91031?src=19,Network Security Architect,Ciber,Orlando,,,,,
15,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/70000120/SECTY-ET?src=19,Senior Security Analyst,Tekforce Corporation,ALPHARETTA,,,,,
16,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10123234/1553?src=19,Helpdesk Support,Evolution Services,,,,,,
17,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/techa001d/MAR-9?src=19,Human Resources Generalist  (mar-9),@tech Consulting Group,SUNNYVALE,,,,,
18,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/aesi/16-00135?src=19,Manufacturing Test Engineer,Albin Engineering Services,,,,,,
19,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxvolt/J3H5V761Q9Q7KDM8TD8?src=19,Business/Systems Analyst,Volt,Jersey City,,,,,
20,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10117699/737643?src=19,Data Catalog Developer,Tech Mahindra (Americas) Inc.,Cincinnati,,,,,
21,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10116662/CL31510652015977?src=19,Seeking Recent College Graduates / Researchers for Recruiting,Gambit Technologies,Boston,,,,,
22,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/SS2-132026718?src=19,Help Desk Support Technician,CyberCoders,Miami,,,,,
23,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1a7cce/740888?src=19,IT Support Manager,Pioneer Technology LLC,Chattanooga,,,,,
24,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/fergsn/26716BR?src=19,Microsoft Dynamics CRM Developer,Ferguson,Newport News,,,,,
25,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/KSK-1205544160?src=19,Software Engineer with TS - Driver Development,,,,,,,
26,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/amazonAWS/421902?src=19,Sr. Product Manager - Technical (Level 6),Amazon,Seattle,,,,,
27,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10118474/735005?src=19,Project Manager - 2,Xylo Technologies,,,,,,
28,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10112454/VLS70570?src=19,Voice Engineer,V.L.S. Systems,,,,,,
29,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90541900/1092p?src=19,Administator Payroll AP AR,Zenyx,Bellevue,,,,,
30,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/22470?src=19,Processor (OCS),TAD PGS,,,,,,
31,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxjudgpa/501641?src=19,Automation Test Engineer,The Judge Group,Dallas,,,,,
32,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/usts/642782?src=19,Network Engineer,U.S. Tech Solutions Inc.,Celebration,,,,,
33,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cdatar/000042?src=19,Senior Web Developer,Creative Data Resources,New York,,,,,
34,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10226510/1720?src=19,Software Development Engineer in Test,Dimensional Thinking,Atlanta,,,,,
35,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10108900/704001?src=19,Application Support Manager  - Reference Data Technology,Evantage LLC,Jersey city,,,,,
36,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10117401/4730939?src=19,Senior/Principal Consultant,Akana,,,,,,
37,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10330808/A06PARIDatacent?src=19,Data Center Technician,VDart,,,,,,
38,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/CCW-132022112?src=19,Information Architect - Non-Profit Co,CyberCoders,Rancho Santa Margarita,,,,,
39,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/9093468/579647?src=19,Technical Project Manager with infrastructure exp,Dutech Systems Inc,Round Rock,,,,,
40,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/swapps/741550?src=19,Business Analyst - Ariba & source to pay,AgreeYa Solutions,san jose,,,,,
41,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/aesi/16-00146?src=19,Turbine Engineer,Albin Engineering Services,,,,,,
42,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL134863/2016-48797-15804057?src=19,Software Test Engineer I,MorphoTrak - Anaheim (CA),Morgantown,10/18/16,,,,
43,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10124983/690723?src=19,SAP Successfactors Architect,3Core Systems,,,,,,
44,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10289726/629806?src=19,Software Architect,Equis Staffing,Encino,,,,,
45,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10116544/740419?src=19,Oracle Financials w/Cloud implementation,HALLMARK GLOBAL TECHNOLOGIES INC,CHICAGO,,,,,
46,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/itca001/16-08263?src=19,Remote IRT/RTSM Support Specialist,Ascent,Audubon,,,,,
47,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10458156/456321?src=19,Java with C++ requirement,Tek Energy LLC.,Annapolis,,,,,
48,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL152550/1005312259160?src=19,IT Security & Compliance Manager,Ledgent Tech,Seal Beach,,,,,
49,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/amazon20/450103?src=19,EngOpsTech,Amazon,Sterling,,,,,
50,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/htcinc/ACSNIL914?src=19,Senior Agile Developer,HTC Global Services,,,,,,
count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,,,
1,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10123234/1553?src=19,Helpdesk Support,Evolution Services,,,,,,
2,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1a7cce/740888?src=19,IT Support Manager,Pioneer Technology LLC,Chattanooga,,,,,
3,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL134863/2016-48797-15804057?src=19,Software Test Engineer I,MorphoTrak - Anaheim (CA),Morgantown,10/18/16,,,,
4,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/comga001/16856DLD?src=19,Sr. Systems Admin,3Ci,Alpharetta,,,,,
5,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1ba7b2/4732523?src=19,Cisco UC/UCCE Engineer,WORLDPAC,Dayton,,,,,
6,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX173fad/4729484?src=19,Technical Support Specialist,S&A Systems,Rockwall,,,,,
7,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/citi4/16047639?src=19,Apps Support Intermed Analyst,Citi,New York,,,,,
8,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90925512/NAM00767-937?src=19,Reliability Engineer - Consumer Products Development,Edgewell,Milford,,,,,
9,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10115109/2016-7564pp?src=19,Help Desk Consultant - TOP SECRET Required,Squires Group,,,,,,
10,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10124613/1233?src=19,Unix/Linux C++ Heavy Algorithimic Developer,Case Interactive,New York,,,,,
11,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX16cf88/4726710?src=19,Research Business Analyst 1,University of Minnesota,Minneapolis,,,,,
12,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX16cffb/4737270?src=19,Enterprise Support and Technology Specialist (Full-Time),Lakeshore Technical College,Cleveland,,,,,
13,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10422463/712366?src=19,Business Analyst,Prata International,,,,,,
14,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110992/701180?src=19,WLAN PHY Systems Design Engineer -1227,Xpeerant Inc.,Sunnyvale,,,,,
15,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1a94a5/719033?src=19,Senior IT Help Desk Technician,Berg Health,Nashville,,,,,
16,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CINCOM/4121?src=19,Technical Support Engineer (CDS),Cincom Systems,,,,,,
17,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cdatar/23232?src=19,Scala Application Developer,Creative Data Resources,New York,,,,,
18,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10108900/933978?src=19,Scala Developer  Core Platform Team - Reference Data,Evantage LLC,New York,,,,,
19,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/hyattldr/AB14146?src=19,Systems Engineer,Hyatt Leader,Mount Laurel,,,,,
20,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/imssvs/12643X6564?src=19,Business Systems Analyst-Enterprise 1 Finance,IMS - International Management Systems,La Habra,,,,,
21,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10113169/734128?src=19,Business Analyst-Server Based./Quality Assurance./Application Support,Think Development Systems,,,,,,
22,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RHYANTX/715528?src=19,Java Developer Analyst,Rhyan Technology Services,Austin,,,,,
23,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/fglobal/sappp3x?src=19,SAP PP Support Analyst,FuseGlobal Partners,Saint Louis,,,,,
24,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/KM3-132172112?src=19,Manufacturing Engineer,CyberCoders,Alexandria,,,,,
25,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10376883/716380?src=19,Senior Software Engineer  Software Analyst,Becton Dickinson & Company,Baltimore,,,,,
26,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90914815/710544?src=19,Business Development,X-Centric IT Solutions,,,,,,
27,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10121151/WI-DCF-BPC1021?src=19,Business Process Consultant,Chandra Technologies,,,,,,
28,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10112090/737979?src=19,Taleo Business Analyst for Georgia Department of Administrative Servi,nLeague Services,Atlanta,,,,,
29,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10121957/2778?src=19,ServiceNow Implementation Specialist III,LGS Innovations LLC,High Point,,,,,
30,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/94712?src=19,General Manager,Ciber,Plano,,,,,
31,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/SN2-131626833?src=19,Product Designer to join GREAT start-up!,CyberCoders,Westlake Village,,,,,
32,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/esgcx/030695?src=19,Product Support / Applications Support,ESG Consulting,Walnut Creek,,,,,
33,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxtacma/Advantage_2582-693?src=19,IT Business Analyst,Advantage xPO,Salt Lake City,,,,,
34,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10230037/8283735?src=19,Electrical Design Engineer  AutoCAD,,,,,,,
35,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/MTGI/19227?src=19,Embedded Software Manager,Meridian Technology Group,,,,,,
36,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL152550/1005312242172?src=19,Network Engineer,Ledgent Tech,Dallas,,,,,
37,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10109419/1576562?src=19,Field Data Center Support Technician,Hewlett Packard Enterprise Company,Oklahoma City,,,,,
38,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110751/440989?src=19,Problem Analyst,Ventech Solutions Inc,Manassas,,,,,
39,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10109619/725468?src=19,SharePoint Business Analyst,Delegata,Sacramento,,,,,
40,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10112696/29856?src=19,Customer Support,Macrosoft,Atlanta,,,,,
41,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/matlennj/740150?src=19,Sr. Support Engineer,The Matlen Silver Group,,,,,,
42,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90750116/658313?src=19,Oracle Fusion Middleware Architect /SOA Architect /SOA Lead Developer,Peak Experience LLC,Allendale,,,,,
43,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10203417/1972_IncMngrIII?src=19,Incident Manager III,Partner's Consulting,,,,,,
44,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10319608/735440?src=19,Helpdesk Support / L1 Support,Blackapple Solutions LLC,Cary,,,,,
45,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxmnpwr1/FOX_11168127-665?src=19,Service Management Lead,Experis,West Milwaukee,,,,,
46,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10239446/4739481?src=19,SQL Developer,SPI,Broomfield,,,,,
47,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10112865/740131?src=19,Sr. Tech Manager of Systems Engineering,Genoa International Solutions,Richardson,,,,,
48,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10116711/SAP010004?src=19,Master Data Configuration / Business Systems Analyst,MEDLINE INDUSTRIES,Mundelein,,,,,
49,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10190416/14723?src=19,Sr. Staff Engineer - Speech Platform,[24]7 Inc.,Campbell,,,,,
50,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL152550/1005312269691?src=19,IT Franchise Liasion,Ledgent Tech,Anaheim,,,,,
count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,,,
1,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/alphacon/16-01487?src=19,Biostatistician with Clinical Experience,Alpha Consulting Corp.,Jersey City,,,,,
2,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10113940/16418-1?src=19,SAP and Analytics advisor with a background in statistics or advanced mathematics,E Business Staffing,Dallas,,,,,
3,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/NNG-119917240?src=19,Data Scientist - Junior-Senior Levels!,CyberCoders,Los Angeles,,,,,
4,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/opensyst/31151?src=19,Quant Researcher,Open Systems Technologies,New York,,,,,
