count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,
24,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10111962/QAH-09?src=19,QA Engineer-Datawarehouse/ BI,Talent Space,,,,
25,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cgiamsbot/J0916-2278?src=19,Java Developer,CGI,Fairfax,,,
26,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10115369/BBBH103562-847?src=19,SQL Developer-Contract to Hire - St. Petersburg,,,,,
27,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10208346Q/32_39010_OBIEE?src=19,OBIEE Developer,Collabera,Temple Terrace,,,
28,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/95080?src=19,Business Systems Consultant,Ciber,Indianapolis,,,
29,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/fergsn/26552BR?src=19,IT Business Analyst - Order Management,Ferguson,Newport News,,,
30,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10114351/648304?src=19,Senior Software Developers,Randstad,Woburn,,,
31,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10216736/US51FXAD_BH1211332?src=19,C#/.Net Programmer,Kelly Services,Philadelphia,,,
32,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10109419/1557227?src=19,Cyber Security Specialist,Hewlett Packard Enterprise Company,Quantico,,,
33,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10330808/A14_OracleP2PAJ?src=19,Oracle P2P Developer || Oracle Technical Consultant || Oracle Technic,VDart,,,,
34,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10143403/731458?src=19,Senior Project Manager  Cisco Unified Communications,Infinity Consulting Solutions,Teterboro,,,
35,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10189947/160000KA?src=19,Test Automation Engineer,Intelligrated Software,Alpharetta,,,
36,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110992/712802?src=19,Physical Design ASIC/RTL Design Engineer - Senior -0553,Xpeerant Inc.,Austin,,,
37,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10337062/632776?src=19,Product Manager,Markit North America,Boulder,,,
38,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/accperny/50808885?src=19,Network Specialist/ Engineer All New!,Access Staffing,Alpharetta,,,
39,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10474236/464201?src=19,IT Infrastructure Sales,Accunet Solutions Inc,Buffalo,,,
40,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10108942/12529?src=19,ETL Developer  - 12529,Maxonic,,,,
41,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/techa001d/10-joe?src=19,Mobil Facilities Technician for our Roving Team (10-joe),@tech Consulting Group,campbell,,,
42,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/accperny/7079909?src=19,Support Specialist,Access Staffing,Houston,,,
43,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CUEDATA/16-06446?src=19,Sr. Project Manager,NTT DATA,,,,
44,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10411514/KC349?src=19,Sr. Reporting Analyst,Kavaliro,Washington,,,
45,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/wolverin/781?src=19,Technical Support Technician,Wolverine Technical Staffing,,,,
46,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/infotny/16-12809CA?src=19,Associate Portfolio Manager,DIVERSANT,,,,
47,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110283/729097?src=19,Network Engineering and Architecture Consultant,Silicon Alley Group,Tumwater,,,
48,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/usts/5603-1?src=19,Senior Dev Engineer I,U.S. Tech Solutions Inc.,Warsaw,,,
49,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90891149/718619?src=19,Portal Developer (Websphere),Brainhunter Companies LLC,Hoboken,,,
50,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/KANBAY/NET_MN?src=19,.Net Developer,Capgemini,Minneapolis,,,
count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,
1,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90970141/741998?src=19,IT Technician,The Ranch at Rock Creek,Philipsburg,,,
2,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10117699/728829?src=19,Data Analyst,Tech Mahindra (Americas) Inc.,Mountain View,,,
3,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10190416/14723?src=19,Sr. Staff Engineer - Speech Platform,[24]7 Inc.,Campbell,,,
4,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/95080?src=19,Business Systems Consultant,Ciber,Indianapolis,,,
5,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/softpath/4421382?src=19,Information Systems Service Level Manager,Softpath System,,,,
6,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10415646/719956?src=19,Associate Field Service Engineer (Cincinnati,,,,,
7,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/matlennj/740150?src=19,Sr. Support Engineer,The Matlen Silver Group,,,,
8,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/itca001/16-04717?src=19,Principal Software Engineer,Ascent,Englewood,,,
9,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/94991?src=19,Network Engineer,Ciber,Cincinnati,,,
10,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/LW-1290828108?src=19,Lead Unity3D Engineer - GREAT CULTURE + TOP PAY,CyberCoders,New York,,,
11,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/matlennj/721723?src=19,Technical Business Analyst/Data Analyst,The Matlen Silver Group,,,,
12,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxtacma/Advantage_2582-693?src=19,IT Business Analyst,Advantage xPO,Salt Lake City,,,
13,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/comga001/16856DLD?src=19,Sr. Systems Admin,3Ci,Alpharetta,,,
14,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10337062/636876?src=19,Data Scientist,Markit North America,Boulder,,,
15,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX173ad1/4732141?src=19,Sr. Systems Analyst,City of Kent,Kent,,,
16,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10112865/740131?src=19,Sr. Tech Manager of Systems Engineering,Genoa International Solutions,Richardson,,,
17,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10233327/145344?src=19,Angular Developer,Capitol Search,,,,
18,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10435779/452431311244?src=19,Senior Software Engineering - MS.Net,EPM Scientific,Manhattan,,,
19,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/hcl001/PM?src=19,Operations Manager  Field Services ( Desktop ),HCL America Inc.,Jacksonville,,,
20,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL152550/1005312242172?src=19,Network Engineer,Ledgent Tech,Dallas,,,
21,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1a7cce/740888?src=19,IT Support Manager,Pioneer Technology LLC,Chattanooga,,,
22,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL152550/1005312269280?src=19,Application Support,Ultimate Staffing,Meriden,,,
23,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1ba85a/4734147?src=19,Systems Administrator,Yuma  County HR,Yuma,,,
24,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/fglobal/sappp3x?src=19,SAP PP Support Analyst,FuseGlobal Partners,Saint Louis,,,
25,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10106768/29934?src=19,SCADA Systems Manager,World Technologies,,,,
26,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxmodbma/635940?src=19,Software Quality Engineer- device,Systems Pros Inc.,Raleigh,,,
27,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90750116/658313?src=19,Oracle Fusion Middleware Architect /SOA Architect /SOA Lead Developer,Peak Experience LLC,Allendale,,,
28,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10198237/458120?src=19,BMC Remedy Developer - Secret Clearance,Windward Consulting,Fairfax,,,
29,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX168aa7/941884?src=19,Sr. Salesforce Architect  Developer,BizTek Innovations,Mountain View,,,
30,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10115109/2016-7564pp?src=19,Help Desk Consultant - TOP SECRET Required,Squires Group,,,,
31,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10111739/PD3-41632?src=19,Data Scientist,KBM Enterprises,Nashville,,,
32,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX16cf88/4726710?src=19,Research Business Analyst 1,University of Minnesota,Minneapolis,,,
33,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90784838/741223?src=19,WebSite Operations Engineer,TS KANDILIT LLC,Framingham,,,
34,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1955b6/4721953?src=19,Applications Programmer,University of California Riverside,Riverside,,,
35,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cdatar/23232?src=19,Scala Application Developer,Creative Data Resources,New York,,,
36,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10121151/SC-DOA-PM1021?src=19,Sr SAP Project Manager,Chandra Technologies,,,,
37,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/KM3-132172112?src=19,Manufacturing Engineer,CyberCoders,Alexandria,,,
38,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX173fad/4729484?src=19,Technical Support Specialist,S&A Systems,Rockwall,,,
39,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10122753/94251?src=19,Help Desk Analyst,Ciber,Rochester,,,
40,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10230037/8283735?src=19,Electrical Design Engineer  AutoCAD,,,,,
41,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL61687/16-02352?src=19,HelpDesk Analyst,CompuGain Corporation,Pittsburgh,,,
42,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/50050274/2016-18526?src=19,IT Security Specialist V,Maximus Inc,Silver Spring,,,
43,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1b771a/710274?src=19,Sr. iSeries Developer,Corvette America,Reedsville,,,
44,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10429250/RS00189?src=19,IT Field Service Technician,Resources IT,Chicago,,,
45,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/TRIADW/10426?src=19,Senior SDET,TRIAD Group,Seattle,,,
46,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1ba7b2/4732523?src=19,Cisco UC/UCCE Engineer,WORLDPAC,Dayton,,,
47,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10527217/5870?src=19,GCE: Software Engineer II,GCE,Lorton,,,
48,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/ALR/169208?src=19,Java Programmer,ALR Systems and Software,,,,
49,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTL152550/1005312267614?src=19,Mid-Level Functional SAP FI/CO Specialist,Ledgent Tech,Irvine,,,
50,156,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Problem+Solving&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10124296/AppAnalyst_KB?src=19,Application Analyst,Principle Solutions Group,Cincinnati,,,
count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,
1,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10108150/DY_Data_Science?src=19,Data Scientist,Intelliswift Software Inc,Sunnyvale,,,
2,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/gsc/16-01252n?src=19,AML Optimization Statistician,RMS Computer Corporation,Tampa,,,
3,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10118594/707936?src=19,Process innovation Manager,Adi WorldLink,,,,
4,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10111560/16-03182?src=19,Statistician w/ experience in medical device or pharma clinical trials,iTech Solutions,,,,
5,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10333482/722357?src=19,Quantitative Analyst,Lawrence Harvey,San Francisco,,,
6,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90833617/732438?src=19,Lead Java Developer,Louisiana Economic Development,Monroe,,,
7,86,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Statistics&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/SM7-131443441?src=19,Technical Product Manager -Cyber Security Sector!!,CyberCoders,Dallas,,,
